instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
297,2011-10-24,4,0,10,0,1,1,1,463.333,457.067,772.083,118.792,699,3488,4187
298,2011-10-25,4,0,10,0,2,1,1,471.667,463.375,622.917,166.658,695,3992,4687
299,2011-10-26,4,0,10,0,3,1,2,484.167,472.846,720.417,148.642,404,3490,3894
300,2011-10-27,4,0,10,0,4,1,2,0.47,457.046,812.917,197.763,240,2419,2659
301,2011-10-28,4,0,10,0,5,1,2,330.833,318.812,585.833,229.479,456,3291,3747
302,2011-10-29,4,0,10,0,6,0,3,254.167,227.913,8.825,351.371,57,570,627
303,2011-10-30,4,0,10,0,0,0,1,319.167,321.329,62.375,176.617,885,2446,3331
304,2011-10-31,4,0,10,0,1,1,1,0.34,356.063,703.333,10.635,362,3307,3669
305,2011-11-01,4,0,11,0,2,1,1,400.833,397.088,68.375,135.571,410,3658,4068
306,2011-11-02,4,0,11,0,3,1,1,3.775,390.133,71.875,820.917,370,3816,4186
307,2011-11-03,4,0,11,0,4,1,1,408.333,405.921,702.083,136.817,318,3656,3974
308,2011-11-04,4,0,11,0,5,1,2,403.333,403.392,6.225,271.779,470,3576,4046
309,2011-11-05,4,0,11,0,6,0,1,326.667,323.854,519.167,189.062,1156,2770,3926
310,2011-11-06,4,0,11,0,0,0,1,348.333,362.358,734.583,920.542,952,2697,3649
311,2011-11-07,4,0,11,0,1,1,1,395,400.871,75.875,57.225,373,3662,4035
312,2011-11-08,4,0,11,0,2,1,1,408.333,412.246,721.667,690.375,376,3829,4205
313,2011-11-09,4,0,11,0,3,1,1,0.4,409.079,758.333,621.958,305,3804,4109
314,2011-11-10,4,0,11,0,4,1,2,0.38,373.721,813.333,189.067,190,2743,2933
315,2011-11-11,4,0,11,1,5,0,1,324.167,306.817,44.625,314.675,440,2928,3368
316,2011-11-12,4,0,11,0,6,0,1,356.667,357.942,552.917,212.062,1275,2792,4067
317,2011-11-13,4,0,11,0,0,0,1,440.833,43.055,458.333,281.721,1004,2713,3717
318,2011-11-14,4,0,11,0,1,1,1,0.53,524.612,587.083,306.596,595,3891,4486
319,2011-11-15,4,0,11,0,2,1,2,0.53,507.579,68.875,199.633,449,3746,4195
320,2011-11-16,4,0,11,0,3,1,3,456.667,451.988,0.93,136.829,145,1672,1817
321,2011-11-17,4,0,11,0,4,1,2,341.667,323.221,575.833,305.362,139,2914,3053
322,2011-11-18,4,0,11,0,5,1,1,274.167,272.721,0.41,168.533,245,3147,3392
323,2011-11-19,4,0,11,0,6,0,1,329.167,324.483,502.083,224.496,943,2720,3663
324,2011-11-20,4,0,11,0,0,0,2,463.333,457.058,684.583,18.595,787,2733,3520
325,2011-11-21,4,0,11,0,1,1,3,4.475,445.062,0.91,138.054,220,2545,2765
326,2011-11-22,4,0,11,0,2,1,3,416.667,421.696,9.625,118.792,69,1538,1607
327,2011-11-23,4,0,11,0,3,1,2,440.833,430.537,757.917,335.825,112,2454,2566
328,2011-11-24,4,0,11,1,4,0,1,373.333,372.471,549.167,167.304,560,935,1495
329,2011-11-25,4,0,11,0,5,1,1,375,380.671,64.375,988.958,1095,1697,2792
330,2011-11-26,4,0,11,0,6,0,1,375.833,385.087,681.667,684.208,1249,1819,3068
331,2011-11-27,4,0,11,0,0,0,1,459.167,4.558,698.333,208.954,810,2261,3071
332,2011-11-28,4,0,11,0,1,1,1,503.478,490.122,743.043,142.122,253,3614,3867
333,2011-11-29,4,0,11,0,2,1,2,458.333,451.375,830.833,258.092,96,2818,2914
334,2011-11-30,4,0,11,0,3,1,1,325,311.221,613.333,271.158,188,3425,3613
335,2011-12-01,4,0,12,0,4,1,1,3.125,305.554,524.583,220.158,182,3545,3727
336,2011-12-02,4,0,12,0,5,1,1,314.167,331.433,625.833,100.754,268,3672,3940
337,2011-12-03,4,0,12,0,6,0,1,299.167,310.604,612.917,957.833,706,2908,3614
338,2011-12-04,4,0,12,0,0,0,1,330.833,3.491,775.833,839.583,634,2851,3485
339,2011-12-05,4,0,12,0,1,1,2,385.833,393.925,827.083,622.083,233,3578,3811
340,2011-12-06,4,0,12,0,2,1,3,4.625,4.564,949.583,232.583,126,2468,2594
341,2011-12-07,4,0,12,0,3,1,3,0.41,400.246,970.417,266.175,50,655,705
342,2011-12-08,4,0,12,0,4,1,1,265.833,256.938,0.58,240.058,150,3172,3322
343,2011-12-09,4,0,12,0,5,1,1,290.833,317.542,695.833,827.167,261,3359,3620
344,2011-12-10,4,0,12,0,6,0,1,275,266.412,5.075,233.221,502,2688,3190
345,2011-12-11,4,0,12,0,0,0,1,220.833,253.154,0.49,665.417,377,2366,2743
346,2011-12-12,4,0,12,0,1,1,1,238.333,270.196,670.833,6.345,143,3167,3310
347,2011-12-13,4,0,12,0,2,1,1,2.825,301.138,0.59,14.055,155,3368,3523
348,2011-12-14,4,0,12,0,3,1,2,3.175,338.362,66.375,609.583,178,3562,3740
349,2011-12-15,4,0,12,0,4,1,2,4.225,412.237,634.167,268.042,181,3528,3709
350,2011-12-16,4,0,12,0,5,1,2,375,359.825,500.417,260.575,178,3399,3577
351,2011-12-17,4,0,12,0,6,0,2,258.333,249.371,560.833,243.167,275,2464,2739
352,2011-12-18,4,0,12,0,0,0,1,238.333,245.579,58.625,169.779,220,2211,2431
353,2011-12-19,4,0,12,0,1,1,1,276.667,280.933,6.375,172.896,260,3143,3403
354,2011-12-20,4,0,12,0,2,1,2,385.833,396.454,595.417,615.708,216,3534,3750
355,2011-12-21,1,0,12,0,3,1,2,428.333,428.017,858.333,2.214,107,2553,2660
356,2011-12-22,1,0,12,0,4,1,2,423.333,426.121,7.575,47.275,227,2841,3068
357,2011-12-23,1,0,12,0,5,1,1,373.333,377.513,68.625,274.246,163,2046,2209
358,2011-12-24,1,0,12,0,6,0,1,3.025,299.242,5.425,190.304,155,856,1011
359,2011-12-25,1,0,12,0,0,0,1,274.783,279.961,681.304,155.091,303,451,754
360,2011-12-26,1,0,12,1,1,0,1,321.739,315.535,506.957,239.465,430,887,1317
361,2011-12-27,1,0,12,0,2,1,2,325,327.633,7.625,18.845,103,1059,1162
362,2011-12-28,1,0,12,0,3,1,1,29.913,279.974,503.913,293.961,255,2047,2302
363,2011-12-29,1,0,12,0,4,1,1,248.333,263.892,574.167,119.412,254,2169,2423
364,2011-12-30,1,0,12,0,5,1,1,311.667,318.812,636.667,134.337,491,2508,2999
365,2011-12-31,1,0,12,0,6,0,1,0.41,414.121,615.833,220.154,665,1820,2485
366,2012-01-01,1,1,1,0,0,0,1,0.37,375.621,6.925,192.167,686,1608,2294
367,2012-01-02,1,1,1,1,1,0,1,273.043,252.304,381.304,329.665,244,1707,1951
368,2012-01-03,1,1,1,0,2,1,1,0.15,126.275,44.125,365.671,89,2147,2236
369,2012-01-04,1,1,1,0,3,1,2,1.075,119.337,414.583,1.847,95,2273,2368
370,2012-01-05,1,1,1,0,4,1,1,265.833,278.412,524.167,129.987,140,3132,3272
371,2012-01-06,1,1,1,0,5,1,1,334.167,340.267,542.083,167.908,307,3791,4098
372,2012-01-07,1,1,1,0,6,0,1,393.333,390.779,531.667,174.758,1070,3451,4521
373,2012-01-08,1,1,1,0,0,0,1,3.375,340.258,465,191.542,599,2826,3425
374,2012-01-09,1,1,1,0,1,1,2,224.167,247.479,701.667,989,106,2270,2376
375,2012-01-10,1,1,1,0,2,1,1,308.696,318.826,646.522,187.552,173,3425,3598
376,2012-01-11,1,1,1,0,3,1,2,274.167,282.821,8.475,131.221,92,2085,2177
377,2012-01-12,1,1,1,0,4,1,2,3.825,381.938,802.917,180.967,269,3828,4097
378,2012-01-13,1,1,1,0,5,1,1,274.167,249.362,5.075,378.108,174,3040,3214
379,2012-01-14,1,1,1,0,6,0,1,0.18,183.087,4.575,187.183,333,2160,2493
380,2012-01-15,1,1,1,0,0,0,1,166.667,161.625,419.167,251.258,284,2027,2311
381,2012-01-16,1,1,1,1,1,0,1,0.19,190.663,5.225,231.358,217,2081,2298
382,2012-01-17,1,1,1,0,2,1,2,373.043,364.278,716.087,34.913,127,2808,2935
383,2012-01-18,1,1,1,0,3,1,1,303.333,275.254,443.333,415.429,109,3267,3376
384,2012-01-19,1,1,1,0,4,1,1,0.19,190.038,4.975,220.158,130,3162,3292
385,2012-01-20,1,1,1,0,5,1,2,2.175,220.958,0.45,20.275,115,3048,3163
386,2012-01-21,1,1,1,0,6,0,2,173.333,174.875,83.125,222.642,67,1234,1301
387,2012-01-22,1,1,1,0,0,0,2,1.625,16.225,79.625,199.638,196,1781,1977
388,2012-01-23,1,1,1,0,1,1,2,218.333,243.058,91.125,110.708,145,2287,2432
389,2012-01-24,1,1,1,0,2,1,1,3.425,349.108,835.833,123.767,439,3900,4339
390,2012-01-25,1,1,1,0,3,1,1,294.167,294.821,64.375,161.071,467,3803,4270
391,2012-01-26,1,1,1,0,4,1,2,341.667,35.605,769.583,733.958,244,3831,4075
392,2012-01-27,1,1,1,0,5,1,2,425,415.383,74.125,342.667,269,3187,3456
393,2012-01-28,1,1,1,0,6,0,1,315.833,326.379,543.333,210.829,775,3248,4023
394,2012-01-29,1,1,1,0,0,0,1,2.825,272.721,31.125,24.005,558,2685,3243
395,2012-01-30,1,1,1,0,1,1,1,269.167,262.625,400.833,215.792,126,3498,3624
396,2012-01-31,1,1,1,0,2,1,1,0.39,381.317,416.667,261.817,324,4185,4509
397,2012-02-01,1,1,2,0,3,1,1,469.167,466.538,507.917,189.067,304,4275,4579
398,2012-02-02,1,1,2,0,4,1,2,399.167,398.971,672.917,187.187,190,3571,3761
399,2012-02-03,1,1,2,0,5,1,1,313.333,309.346,526.667,178.496,310,3841,4151
400,2012-02-04,1,1,2,0,6,0,2,264.167,272.725,779.583,121.896,384,2448,2832
401,2012-02-05,1,1,2,0,0,0,2,265.833,264.521,687.917,175.996,318,2629,2947
402,2012-02-06,1,1,2,0,1,1,1,282.609,296.426,622.174,1.538,206,3578,3784
403,2012-02-07,1,1,2,0,2,1,1,354.167,361.104,49.625,147.379,199,4176,4375
404,2012-02-08,1,1,2,0,3,1,2,256.667,266.421,722.917,133.721,109,2693,2802
405,2012-02-09,1,1,2,0,4,1,1,265,261.988,562.083,194.037,163,3667,3830
406,2012-02-10,1,1,2,0,5,1,2,280.833,293.558,0.54,116.929,227,3604,3831
407,2012-02-11,1,1,2,0,6,0,3,224.167,210.867,73.125,289.796,192,1977,2169
408,2012-02-12,1,1,2,0,0,0,1,1.275,101.658,464.583,409.212,73,1456,1529
409,2012-02-13,1,1,2,0,1,1,1,2.225,227.913,41.125,167.283,94,3328,3422
410,2012-02-14,1,1,2,0,2,1,2,319.167,333.946,50.875,141.179,135,3787,3922
411,2012-02-15,1,1,2,0,3,1,1,348.333,351.629,53.125,1.816,141,4028,4169
412,2012-02-16,1,1,2,0,4,1,2,316.667,330.162,752.917,91.425,74,2931,3005
413,2012-02-17,1,1,2,0,5,1,1,343.333,351.629,634.583,205.846,349,3805,4154
414,2012-02-18,1,1,2,0,6,0,1,346.667,355.425,534.583,190.929,1435,2883,4318
415,2012-02-19,1,1,2,0,0,0,2,0.28,265.788,515.833,253.112,618,2071,2689
416,2012-02-20,1,1,2,1,1,0,1,0.28,273.391,507.826,229.083,502,2627,3129
417,2012-02-21,1,1,2,0,2,1,1,287.826,295.113,594.348,205.717,163,3614,3777
418,2012-02-22,1,1,2,0,3,1,1,395.833,392.667,567.917,234.471,394,4379,4773
419,2012-02-23,1,1,2,0,4,1,1,454.167,444.446,554.583,190.913,516,4546,5062
420,2012-02-24,1,1,2,0,5,1,2,4.075,410.971,7.375,237.567,246,3241,3487
421,2012-02-25,1,1,2,0,6,0,1,290.833,255.675,395.833,421.642,317,2415,2732
422,2012-02-26,1,1,2,0,0,0,1,279.167,268.308,0.41,205.229,515,2874,3389
423,2012-02-27,1,1,2,0,1,1,1,366.667,357.954,490.833,268.033,253,4069,4322
424,2012-02-28,1,1,2,0,2,1,1,359.167,353.525,395.833,193.417,229,4134,4363
425,2012-02-29,1,1,2,0,3,1,2,344.348,34.847,804.783,179.117,65,1769,1834
426,2012-03-01,1,1,3,0,4,1,1,485.833,475.371,615.417,226.987,325,4665,4990
427,2012-03-02,1,1,3,0,5,1,2,353.333,359.842,657.083,144.904,246,2948,3194
428,2012-03-03,1,1,3,0,6,0,2,414.167,413.492,62.125,161.079,956,3110,4066
429,2012-03-04,1,1,3,0,0,0,1,325.833,303.021,403.333,334.571,710,2713,3423
430,2012-03-05,1,1,3,0,1,1,1,243.333,241.171,50.625,228.858,203,3130,3333
431,2012-03-06,1,1,3,0,2,1,1,258.333,255.042,456.667,200.875,221,3735,3956
432,2012-03-07,1,1,3,0,3,1,1,404.167,3.851,513.333,345.779,432,4484,4916
433,2012-03-08,1,1,3,0,4,1,1,5.275,524.604,5.675,441.563,486,4896,5382
434,2012-03-09,1,1,3,0,5,1,2,410.833,397.083,407.083,4.148,447,4122,4569
435,2012-03-10,1,1,3,0,6,0,1,2.875,277.767,350.417,22.575,968,3150,4118
436,2012-03-11,1,1,3,0,0,0,1,361.739,35.967,476.957,222.587,1658,3253,4911
437,2012-03-12,1,1,3,0,1,1,1,466.667,459.592,489.167,207.713,838,4460,5298
438,2012-03-13,1,1,3,0,2,1,1,565,542.929,6.175,23.695,762,5085,5847
439,2012-03-14,1,1,3,0,3,1,1,5.725,548.617,507.083,115.062,997,5315,6312
440,2012-03-15,1,1,3,0,4,1,1,5.575,532.825,579.583,149.883,1005,5187,6192
441,2012-03-16,1,1,3,0,5,1,2,435.833,436.229,842.083,113.192,548,3830,4378
442,2012-03-17,1,1,3,0,6,0,2,514.167,505.046,755.833,110.704,3155,4681,7836
443,2012-03-18,1,1,3,0,0,0,2,4.725,464,0.81,126.883,2207,3685,5892
444,2012-03-19,1,1,3,0,1,1,1,545,532.821,72.875,162.317,982,5171,6153
445,2012-03-20,1,1,3,0,2,1,1,560.833,538.533,807.917,121.271,1051,5042,6093
446,2012-03-21,2,1,3,0,3,1,2,531.667,513.258,82.125,895.583,1122,5108,6230
447,2012-03-22,2,1,3,0,4,1,1,554.167,531.567,83.125,117.562,1334,5537,6871
448,2012-03-23,2,1,3,0,5,1,2,601.667,570.067,694.167,1.163,2469,5893,8362
449,2012-03-24,2,1,3,0,6,0,2,5.025,486.733,885.417,192.783,1033,2339,3372
450,2012-03-25,2,1,3,0,0,0,2,4.375,437.488,880.833,220.775,1532,3464,4996
451,2012-03-26,2,1,3,0,1,1,1,445.833,43.875,477.917,386.821,795,4763,5558
452,2012-03-27,2,1,3,0,2,1,1,323.333,315.654,0.29,187.192,531,4571,5102
453,2012-03-28,2,1,3,0,3,1,1,484.167,47.095,48.125,291.671,674,5024,5698
454,2012-03-29,2,1,3,0,4,1,1,494.167,482.304,439.167,31.965,834,5299,6133
455,2012-03-30,2,1,3,0,5,1,2,0.37,375.621,580.833,138.067,796,4663,5459
456,2012-03-31,2,1,3,0,6,0,2,424.167,421.708,738.333,250.617,2301,3934,6235
457,2012-04-01,2,1,4,0,0,0,2,425.833,417.287,67.625,172.267,2347,3694,6041
458,2012-04-02,2,1,4,0,1,1,1,433.913,427.513,504.348,312.139,1208,4728,5936
459,2012-04-03,2,1,4,0,2,1,1,466.667,461.483,396.667,100.133,1348,5424,6772
460,2012-04-04,2,1,4,0,3,1,1,541.667,53.345,469.583,180.975,1058,5378,6436
461,2012-04-05,2,1,4,0,4,1,1,435,431.163,374.167,219.529,1192,5265,6457
462,2012-04-06,2,1,4,0,5,1,1,403.333,390.767,377.083,300.388,1807,4653,6460
463,2012-04-07,2,1,4,0,6,0,1,4.375,426.129,254.167,274.871,3252,3605,6857
464,2012-04-08,2,1,4,0,0,0,1,0.5,492.425,275.833,232.596,2230,2939,5169
465,2012-04-09,2,1,4,0,1,1,1,489.167,476.638,3.175,358.196,905,4680,5585
466,2012-04-10,2,1,4,0,2,1,1,446.667,436.233,435,249.375,819,5099,5918
467,2012-04-11,2,1,4,0,3,1,1,348.696,337.274,469.565,295.274,482,4380,4862
468,2012-04-12,2,1,4,0,4,1,1,3.975,387.604,46.625,290.429,663,4746,5409
469,2012-04-13,2,1,4,0,5,1,1,4.425,431.808,408.333,155.471,1252,5146,6398
470,2012-04-14,2,1,4,0,6,0,1,495,487.996,502.917,190.917,2795,4665,7460
471,2012-04-15,2,1,4,0,0,0,1,606.667,573.875,507.917,225.129,2846,4286,7132
472,2012-04-16,2,1,4,1,1,0,1,664.167,614.925,561.667,284.829,1198,5172,6370
473,2012-04-17,2,1,4,0,2,1,1,608.333,598.487,390.417,273.629,989,5702,6691
474,2012-04-18,2,1,4,0,3,1,2,463.333,457.038,569.167,167.912,347,4020,4367
475,2012-04-19,2,1,4,0,4,1,1,498.333,493.046,6.125,659.292,846,5719,6565
476,2012-04-20,2,1,4,0,5,1,1,526.667,515.775,694.583,149.871,1340,5950,7290
477,2012-04-21,2,1,4,0,6,0,1,0.57,542.921,682.917,283.587,2541,4083,6624
478,2012-04-22,2,1,4,0,0,0,3,396.667,389.504,835.417,344.546,120,907,1027
479,2012-04-23,2,1,4,0,1,1,2,321.667,301.125,766.667,303.496,195,3019,3214
480,2012-04-24,2,1,4,0,2,1,1,413.333,405.283,454.167,249.383,518,5115,5633
481,2012-04-25,2,1,4,0,3,1,1,476.667,470.317,427.917,118.792,655,5541,6196
482,2012-04-26,2,1,4,0,4,1,2,498.333,483.583,756.667,176.625,475,4551,5026
483,2012-04-27,2,1,4,0,5,1,1,4.575,452.637,400.833,347.633,1014,5219,6233
484,2012-04-28,2,1,4,0,6,0,2,376.667,377.504,489.583,129.975,1120,3100,4220
485,2012-04-29,2,1,4,0,0,0,1,458.333,450.121,587.083,116.908,2229,4075,6304
486,2012-04-30,2,1,4,0,1,1,2,464.167,457.696,0.57,171.638,665,4907,5572
487,2012-05-01,2,1,5,0,2,1,2,613.333,577.021,659.583,156.096,653,5087,5740
488,2012-05-02,2,1,5,0,3,1,1,564.167,537.896,797.083,138.058,667,5502,6169
489,2012-05-03,2,1,5,0,4,1,2,0.56,537.242,768.333,133.696,764,5657,6421
490,2012-05-04,2,1,5,0,5,1,1,6.275,590.917,735.417,162.938,1069,5227,6296
491,2012-05-05,2,1,5,0,6,0,2,621.667,584.608,756.667,152.992,2496,4387,6883
492,2012-05-06,2,1,5,0,0,0,2,5.625,546.737,0.74,149.879,2135,4224,6359
493,2012-05-07,2,1,5,0,1,1,2,5.375,527.142,664.167,230.721,1008,5265,6273
494,2012-05-08,2,1,5,0,2,1,2,581.667,557.471,685.833,296.029,738,4990,5728
495,2012-05-09,2,1,5,0,3,1,2,575,553.025,744.167,216.412,620,4097,4717
496,2012-05-10,2,1,5,0,4,1,1,505.833,491.783,552.083,314.063,1026,5546,6572
497,2012-05-11,2,1,5,0,5,1,1,533.333,520.833,360.417,236.937,1319,5711,7030
498,2012-05-12,2,1,5,0,6,0,1,564.167,544.817,480.417,123.133,2622,4807,7429
499,2012-05-13,2,1,5,0,0,0,1,6.125,585.238,57.625,225.117,2172,3946,6118
500,2012-05-14,2,1,5,0,1,1,2,573.333,5.499,789.583,212.692,342,2501,2843
501,2012-05-15,2,1,5,0,2,1,2,611.667,576.404,794.583,147.392,625,4490,5115
502,2012-05-16,2,1,5,0,3,1,1,636.667,595.975,697.917,122.512,991,6433,7424
503,2012-05-17,2,1,5,0,4,1,1,593.333,572.613,0.52,229.475,1242,6142,7384
504,2012-05-18,2,1,5,0,5,1,1,564.167,551.121,523.333,136.817,1521,6118,7639
505,2012-05-19,2,1,5,0,6,0,1,0.6,566.908,45.625,83.975,3410,4884,8294
506,2012-05-20,2,1,5,0,0,0,1,620.833,583.967,530.417,254.367,2704,4425,7129
507,2012-05-21,2,1,5,0,1,1,2,598.333,565.667,81.125,233.204,630,3729,4359
508,2012-05-22,2,1,5,0,2,1,2,615,580.825,765.833,118.167,819,5254,6073
509,2012-05-23,2,1,5,0,3,1,2,621.667,584.612,774.583,102,766,4494,5260
510,2012-05-24,2,1,5,0,4,1,1,655,6.067,716.667,172.896,1059,5711,6770
511,2012-05-25,2,1,5,0,5,1,1,0.68,627.529,747.083,14.055,1417,5317,6734
512,2012-05-26,2,1,5,0,6,0,1,6.925,642.696,7.325,198.992,2855,3681,6536
513,2012-05-27,2,1,5,0,0,0,1,0.69,641.425,697.083,215.171,3283,3308,6591
514,2012-05-28,2,1,5,1,1,0,1,7.125,6.793,67.625,196.521,2557,3486,6043
515,2012-05-29,2,1,5,0,2,1,1,7.225,672.992,684.583,2.954,880,4863,5743
516,2012-05-30,2,1,5,0,3,1,2,656.667,611.129,0.67,134.329,745,6110,6855
517,2012-05-31,2,1,5,0,4,1,1,0.68,631.329,492.917,195.279,1100,6238,7338
518,2012-06-01,2,1,6,0,5,1,2,654.167,607.962,755.417,237.563,533,3594,4127
519,2012-06-02,2,1,6,0,6,0,1,583.333,566.288,549.167,186.562,2795,5325,8120
520,2012-06-03,2,1,6,0,0,0,1,6.025,575.133,493.333,184.087,2494,5147,7641
521,2012-06-04,2,1,6,0,1,1,1,5.975,578.283,487.083,284.833,1071,5927,6998
522,2012-06-05,2,1,6,0,2,1,2,540.833,525.892,613.333,209.575,968,6033,7001
523,2012-06-06,2,1,6,0,3,1,1,554.167,542.292,61.125,77.125,1027,6028,7055
524,2012-06-07,2,1,6,0,4,1,1,6.025,569.442,567.083,15.735,1038,6456,7494
525,2012-06-08,2,1,6,0,5,1,1,649.167,597.862,467.917,175.383,1488,6248,7736
526,2012-06-09,2,1,6,0,6,0,1,710.833,648.367,437.083,144.287,2708,4790,7498
527,2012-06-10,2,1,6,0,0,0,1,726.667,663.517,538.333,133.721,2224,4374,6598
528,2012-06-11,2,1,6,0,1,1,2,720.833,659.721,587.917,207.713,1017,5647,6664
529,2012-06-12,2,1,6,0,2,1,2,653.333,597.875,833.333,214.546,477,4495,4972
530,2012-06-13,2,1,6,0,3,1,1,655.833,611.117,582.083,343.279,1173,6248,7421
531,2012-06-14,2,1,6,0,4,1,1,648.333,624.383,569.583,253.733,1180,6183,7363
532,2012-06-15,2,1,6,0,5,1,1,639.167,599.754,589.583,176.617,1563,6102,7665
533,2012-06-16,2,1,6,0,6,0,1,631.667,594.708,504.167,166.667,2963,4739,7702
534,2012-06-17,2,1,6,0,0,0,1,5.925,571.975,59.875,144.904,2634,4344,6978
535,2012-06-18,2,1,6,0,1,1,2,568.333,544.842,777.917,174.746,653,4446,5099
536,2012-06-19,2,1,6,0,2,1,1,688.333,654.692,0.69,148.017,968,5857,6825
537,2012-06-20,2,1,6,0,3,1,1,7.825,720.975,592.083,113.812,872,5339,6211
538,2012-06-21,3,1,6,0,4,1,1,805.833,752.542,567.917,118.787,778,5127,5905
539,2012-06-22,3,1,6,0,5,1,1,7.775,724.121,57.375,182.842,964,4859,5823
540,2012-06-23,3,1,6,0,6,0,1,731.667,652.792,534.583,179.721,2657,4801,7458
541,2012-06-24,3,1,6,0,0,0,1,743.333,674.254,479.167,145.525,2551,4340,6891
542,2012-06-25,3,1,6,0,1,1,1,715.833,654.042,504.167,300.383,1139,5640,6779
543,2012-06-26,3,1,6,0,2,1,1,630.833,594.704,373.333,347.642,1077,6365,7442
544,2012-06-27,3,1,6,0,3,1,1,6.975,640.792,0.36,271.775,1077,6258,7335
545,2012-06-28,3,1,6,0,4,1,1,749.167,675.512,4.225,17.165,921,5958,6879
546,2012-06-29,3,1,6,0,5,1,1,834.167,786.613,48.875,165.417,829,4634,5463
547,2012-06-30,3,1,6,0,6,0,1,765,687.508,60.125,161.071,1455,4232,5687
548,2012-07-01,3,1,7,0,0,0,1,815.833,750.629,51.875,168.529,1421,4110,5531
549,2012-07-02,3,1,7,0,1,1,1,781.667,702.038,447.083,195.267,904,5323,6227
550,2012-07-03,3,1,7,0,2,1,1,780.833,70.265,492.083,126.237,1052,5608,6660
551,2012-07-04,3,1,7,1,3,0,1,789.167,732.337,53.875,13.495,2562,4841,7403
552,2012-07-05,3,1,7,0,4,1,1,8.275,761.367,457.917,194.029,1405,4836,6241
553,2012-07-06,3,1,7,0,5,1,1,828.333,752.533,450.833,146.142,1366,4841,6207
554,2012-07-07,3,1,7,0,6,0,1,861.667,804.913,492.083,163.554,1448,3392,4840
555,2012-07-08,3,1,7,0,0,0,1,8.225,790.396,57.375,125.629,1203,3469,4672
556,2012-07-09,3,1,7,0,1,1,2,710.833,654.054,683.333,180.975,998,5571,6569
557,2012-07-10,3,1,7,0,2,1,2,720.833,664.796,6.675,151.737,954,5336,6290
558,2012-07-11,3,1,7,0,3,1,1,716.667,650.271,633.333,151.733,975,6289,7264
559,2012-07-12,3,1,7,0,4,1,1,715.833,654.683,529.583,146.775,1032,6414,7446
560,2012-07-13,3,1,7,0,5,1,2,731.667,667.933,485.833,8.085,1511,5988,7499
561,2012-07-14,3,1,7,0,6,0,2,703.333,666.042,699.167,143.679,2355,4614,6969
562,2012-07-15,3,1,7,0,0,0,1,745.833,705.196,717.917,166.667,1920,4111,6031
563,2012-07-16,3,1,7,0,1,1,1,763.333,724.125,645,164.187,1088,5742,6830
564,2012-07-17,3,1,7,0,2,1,1,818.333,755.683,505.833,114.429,921,5865,6786
565,2012-07-18,3,1,7,0,3,1,1,793.333,745.583,577.083,137.442,799,4914,5713
566,2012-07-19,3,1,7,0,4,1,1,0.77,714.642,600.417,165.429,888,5703,6591
567,2012-07-20,3,1,7,0,5,1,2,665.833,613.025,844.167,208.967,747,5123,5870
568,2012-07-21,3,1,7,0,6,0,3,595.833,549.912,865.417,2.133,1264,3195,4459
569,2012-07-22,3,1,7,0,0,0,2,6.675,623.125,7.625,939.208,2544,4866,7410
570,2012-07-23,3,1,7,0,1,1,1,741.667,690.017,694.167,138.683,1135,5831,6966
571,2012-07-24,3,1,7,0,2,1,1,750.833,70.645,655,211.454,1140,6452,7592
572,2012-07-25,3,1,7,0,3,1,1,724.167,654.054,0.45,1.648,1383,6790,8173
573,2012-07-26,3,1,7,0,4,1,1,776.667,739.263,596.667,284.813,1036,5825,6861
574,2012-07-27,3,1,7,0,5,1,1,781.667,734.217,594.583,152.992,1259,5645,6904
575,2012-07-28,3,1,7,0,6,0,1,755.833,697.604,613.333,15.735,2234,4451,6685
576,2012-07-29,3,1,7,0,0,0,1,721.667,667.933,62.375,170.396,2153,4444,6597
577,2012-07-30,3,1,7,0,1,1,1,730.833,684.987,66.875,153.617,1040,6065,7105
578,2012-07-31,3,1,7,0,2,1,1,713.333,662.896,704.167,165.425,968,6248,7216
579,2012-08-01,3,1,8,0,3,1,1,7.175,667.308,6.775,141.179,1074,6506,7580
580,2012-08-02,3,1,8,0,4,1,1,7.525,707.088,659.583,129.354,983,6278,7261
581,2012-08-03,3,1,8,0,5,1,2,765.833,722.867,6.425,215.792,1328,5847,7175
582,2012-08-04,3,1,8,0,6,0,1,793.333,751.267,613.333,257.458,2345,4479,6824
583,2012-08-05,3,1,8,0,0,0,1,769.167,731.079,6.525,290.421,1707,3757,5464
584,2012-08-06,3,1,8,0,1,1,2,7.525,710.246,654.167,129.354,1233,5780,7013
585,2012-08-07,3,1,8,0,2,1,2,735.833,697.621,70.375,116.908,1278,5995,7273
586,2012-08-08,3,1,8,0,3,1,2,0.75,707.717,672.917,1.107,1263,6271,7534
587,2012-08-09,3,1,8,0,4,1,1,755.833,699.508,620.417,1.561,1196,6090,7286
588,2012-08-10,3,1,8,0,5,1,2,715.833,667.942,715.833,238.813,1065,4721,5786
589,2012-08-11,3,1,8,0,6,0,2,6.925,638.267,732.917,206.479,2247,4052,6299
590,2012-08-12,3,1,8,0,0,0,1,700.833,644.579,530.417,122.512,2182,4362,6544
591,2012-08-13,3,1,8,0,1,1,1,720.833,662.254,545.417,136.212,1207,5676,6883
